sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Magnanimum Ae","<Verg. Aen. 1,1> LGM allusion sonore vocalique du premier hémistiche","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Magnanimum Aeaciden","<Verg. Aen. 1,260> R-S Enée
<Verg. Aen. 5,17> R-S Enée
<Verg. Aen. 5,47> R-S Enée
<Verg. Aen. 9,204> R-S Enée
<Ov. met. 13,298> R-S même contexte (Achille à Scyros) mais évoqué par Ulysse dans la diatribe pour les armes d'Achille cf. Heslin p. 72-3 ""The Achilleid thus invokes the greatness of Achilles in terms that seem to have a superficially Homeric flavour, but which have already been rhetoricized ironically by Ovid"" p. 72.","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","plura ","<Ov. met. 12,183-184> R-S contexte voisin","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","of the Thunderer ","Dat. d'agent","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tota iuvenem deducere Troia","<Ov. met. 1,4> U genre tenuis de l'élégie ou style modeste, callimachéen
Ce sera l'histoire d'un 'deductus Achilles'
<Stat. Theb. 7,287> U","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml"," but singing the warrior through","1) accompagner le jeune homme dans Troie toute entière (abl. lieu)
2) dégrossir (l'histoire du) jeune homme à partir de (celle de ) Troie toute entière

cf. Verg. ecl. 6,5 R-S ne sont pas d'accord

Prop. 2,1,17-18 (ut possem heroas ducere in arma manus) contexte de refus du genre épique héroïque","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","if I have drained","si nous avons vidé l'ancienne source en y puisant dignement

depleo est terme technique agricole","Lavinia Milic","09 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","necte comas","<Verg. Aen. 1,270> CF
<Ov. am. 1,2,23> N necte comam myrto
<Stat. Theb. 7,170> R-S, N, U, T nectere fronde comas (Bacchus demande à Jupiter d'épargner Thèbes: ici les frondaisons sont des guirlandes qui ornent la tête pour danser, le peuple thébain est qualifié d' imbellis --> inspiration pour matière non guerrière?)
<Stat. Ach. 1,289> fronde ligare comas (Déidamie et ses soeurs ont mis une couronne de feuilles sur la tête de la statue de Minerve, lors d'une cérémonie en son honneur)","Lavinia Milic","17 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","fillets","vittis: cf. Stat. silv. 4,4,92","Lavinia Milic","17 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Phoebus","cf. Val. Fl. 1,5 R-S","Lavinia Milic","17 Feb 2015"
