# Tesserae V3 results
#
# session   = 00000077
# source    = statius.thebaid
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis in hic iam ille neque tu ego
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.560"	"At procul occultum **falsi** **sub** imagine sexus"	"stat. theb. 11.298"	"ille **sub** haec non **fallis**,” ait, nec te inclyta nati"	"sub; fallo"	9.37
2	"stat. ach. 1.563"	"cuncta pavet tacitasque **putat** **sentire** sorores,"	"stat. theb. 8.156"	"genua viros; ipsique — **putes** **sensisse** — repugnant"	"puto; sentio"	9.94
3	"stat. ach. 1.570"	"nunc nimius **lateri** **non** evitantis inhaeret,"	"stat. theb. 5.492"	"**non** deus haec **latumque**? quid imperat urbe nefanda?”"	"latus; non"	9.31
4	"stat. ach. 1.570"	"**nunc** nimius **lateri** non evitantis inhaeret,"	"stat. theb. 9.774"	"**nunc** **latere** alterno dubius conamina mutat,"	"lateo-later-latus; nunc"	9.50
5	"stat. ach. 1.570"	"nunc nimius lateri **non** **evitantis** inhaeret,"	"stat. theb. 11.687"	"intrepidusque secet **non** **evitantia** colla."	"euito; non"	9.77
6	"stat. ach. 1.575"	"infringit **citharae**, nunc occupat **ora** canentis"	"stat. theb. 4.184"	"**ore** simul **citharaque**—quis obvia numina temnat?—"	"aurum-os; cithara"	9.23
7	"stat. ach. 1.580"	"ipsa quoque et **validos** proferre modestius **artus**"	"stat. theb. 3.356"	"ceu turrem **validam** aut **artam** compagibus urbem,"	"artus; ualidus"	9.23
8	"stat. ach. 1.580"	"**ipsa** **quoque** et validos proferre modestius artus"	"stat. theb. 10.637"	"astra locum **quosque** **ipsa** polis adfixerat ignes."	"quisque; ipse"	9.05
9	"stat. ach. 1.581"	"et **tenuare** rudes **attrito** pollice lanas"	"stat. theb. 5.515"	"**atterit** et vastas **tenuat** complexibus ornos;"	"attero; tenuo"	9.87
10	"stat. ach. 1.583"	"pensa **manu**; **vocisque** sonum pondusque tenentis,"	"stat. theb. 2.52"	"fervet ager; saepe Eumenidum **vocesque** **manusque**"	"uox; manus"	9.07
11	"stat. ach. 1.583"	"pensa **manu**; **vocisque** sonum pondusque tenentis,"	"stat. theb. 7.111"	"aptior; innumerae monstro **vocesque** **manusque**"	"uox; manus"	9.07
12	"stat. ach. 1.583"	"pensa **manu**; **vocisque** sonum pondusque tenentis,"	"stat. theb. 12.768"	"adfixit clipeo, risit **vocesque** **manumque**"	"uox; manus"	9.42
13	"stat. ach. 1.586"	"**miratur**: iam iamque dolos aperire **parantem**"	"stat. theb. 5.714"	"intuleras Nemeac **mirandaque** fata **parabas**."	"miror; paro"	9.24
14	"stat. ach. 1.588"	"sic sub matre Rhea iuvenis **regnator** **Olympi**"	"stat. theb. 8.41"	"inspicitur. tumidusne meas **regnator** **Olympi**"	"regnator; olympium-olympius-olympus"	9.52
15	"stat. ach. 1.590"	"frater adhuc, **medii** donec **reverentia** cessit"	"stat. theb. 2.422"	"parcior eloquio et **medii** **reverentior** aequi"	"medion-medium-medius; reuerendus"	9.73
16	"stat. ach. 1.591"	"**sanguinis** et **versos** germana expavit amores."	"stat. theb. 3.204"	"deflerim magis, aut **verso** quod **sanguine** fluxit"	"uerro-uerto; sanguis"	9.47
17	"stat. ach. 1.594"	"**stabat** et admissum caelo nemus: huius in **umbra**"	"stat. theb. 1.103"	"centum illi **stantes** **umbrabant** ora cerastae,"	"umbro; sto"	9.03
18	"stat. ach. 1.594"	"stabat et admissum caelo **nemus**: huius in **umbra**"	"stat. theb. 4.425"	"nec caret **umbra** deo: **nemori** Latonia cultrix"	"nemus; umbra-umbro"	9.17
19	"stat. ach. 1.594"	"**stabat** et **admissum** caelo nemus: huius in umbra"	"stat. theb. 4.682"	"**stat** vapor atque omnes **admittunt** aethera luci."	"sto; admitto"	9.15
20	"stat. ach. 1.595"	"alternam renovare piae **trieterida** **matres**"	"stat. theb. 9.480"	"buxus et insanae maculant **trieterida** **matres**?”"	"trieterida; mater"	9.86
21	"stat. ach. 1.597"	"**ferre** trabes gratosque deo **praestare** furores,"	"stat. theb. 1.605"	"haud **tulit** armorum **praestans** animique Coroebus"	"fero; praesto"	9.16
22	"stat. ach. 1.597"	"ferre trabes gratosque **deo** **praestare** furores,"	"stat. theb. 4.207"	"fors **deus**. Argolicasque habitu **praestabo** maritas,"	"praesto; deus"	9.43
23	"stat. ach. 1.597"	"**ferre** trabes gratosque **deo** praestare furores,"	"stat. theb. 5.492"	"non **deus** haec **latumque**? quid imperat urbe nefanda?”"	"fero; deus"	9.20
24	"stat. ach. 1.598"	"**lex** procul ire mares: itcrat **praecepta** verendus"	"stat. theb. 10.506"	"et quae te **leges** **praeceptaque** fortia belli"	"lex; praecepto-praeceptum-praecipio"	9.26
25	"stat. ach. 1.600"	"nec satis **est**: **stat** fine dato metuenda sacerdos"	"stat. theb. 3.195"	"talis **erat** vulgi **status**, et sic urbe relicta"	"sto; sum"	9.50
26	"stat. ach. 1.601"	"**exploratque** **aditus**, ne. quis temerator oberret"	"stat. theb. 2.370"	"**explorare** **aditus**, audax ea munera Tydeus"	"exploro; adeo-aditus"	9.64
27	"stat. ach. 1.602"	"**agmine** **femineo**, tacitus sibi risit Achilles,"	"stat. theb. 5.652"	"**femineos** coetus plangentiaque **agmina** ducens,"	"agmen; femineus"	9.36
28	"stat. ach. 1.602"	"**agmine** **femineo**, tacitus sibi risit Achilles,"	"stat. theb. 12.146"	"**femineumque** gregem, quae iam super **agmina** Lernae"	"agmen; femineus"	9.07
29	"stat. ach. 1.604"	"**magnaque** difficili solventem bracchia **motu** —"	"stat. theb. 1.433"	"**movisset** gressus, **magnis** cui sobria curis"	"magnus; moueo"	9.17
30	"stat. ach. 1.604"	"**magnaque** difficili **solventem** bracchia motu —"	"stat. theb. 9.230"	"insiluere vadis, **magnoque** fragore **solutus**"	"soluo; magnus"	9.10
31	"stat. ach. 1.608"	"vincitur Aeacide, quantum **premit** **ipsa** sorores."	"stat. theb. 12.371"	"Antigone, comitemque **premens** **ipsamque**; sed ambo"	"ipse; premo"	9.39
32	"stat. ach. 1.612"	"**vibravitque** gravi redimitum missile **dextra**,"	"stat. theb. 6.223"	"vera, iubet: **dextri** gyro et **vibrantibus** hastis"	"dexter; uibro"	9.24
33	"stat. ach. 1.612"	"vibravitque gravi redimitum **missile** **dextra**,"	"stat. theb. 10.839"	"**missilibus** lassa respexit in aethera **dextra**,"	"missile-missilis; dexter-dextera"	9.12
34	"stat. ach. 1.613"	"attonito **stat** turba metu sacrisque **relictis**"	"stat. theb. 3.195"	"talis erat vulgi **status**, et sic urbe **relicta**"	"relinquo; sto"	9.00
35	"stat. ach. 1.613"	"**attonito** stat turba **metu** sacrisque relictis"	"stat. theb. 6.600"	"sive putant, rapit **attonitos** fuga caeca **metusque**"	"metus; attono"	9.37
36	"stat. ach. 1.617"	"**serta** **comis** mitramque levat thyrsumque virentem"	"stat. theb. 10.169"	"**sertaque** mixta **comis** sparsa cervice flagellat,"	"come-comis-como-comum; sero-serta-sertacampanica"	9.59
37	"stat. ach. 1.618"	"armat et hostiles **invisit** **fortior** Indos."	"stat. theb. 1.668"	"templa novatus honos, has **forte** **invisitis** aras"	"inuiso; fortis"	9.84
38	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** **inertior** alis"	"stat. theb. 2.129"	"horruit in maculas **somnosque** excussit **inertes**;"	"somnus; iners"	9.23
39	"stat. ach. 1.621"	"**defluit** in **terras** mutumque amplectitur orbem:"	"stat. theb. 1.677"	"unde genus, quae **terra** mihi, quis **defluat** ordo"	"defluo; terra"	9.26
40	"stat. ach. 1.622"	"consedere chori paulumque **exercita** **pulsu**"	"stat. theb. 11.247"	"adgemit et **pulsis** **exercitus** obstrepit armis,"	"pello; exerceo-exercio"	10.01
41	"stat. ach. 1.623"	"aera **tacent**, tenero cum solus **ab** agmine Achilles"	"stat. theb. 1.169"	"plebis Echioniae, **tacitumque** **a** principe vulgus"	"ab; taceo"	9.23
42	"stat. ach. 1.624"	"haec secum: “quonam **timidae** commenta **parentis**"	"stat. theb. 10.713"	"nec **timidus** te flecto **parens**: i, proelia misce,"	"parens-pareo; timidus"	9.21
43	"stat. ach. 1.626"	"florem animi? **non** tela **licet** Mavortia dextra,"	"stat. theb. 8.85"	"**non** **licito** per inane ruis?” subit ille minantem"	"licet; non"	9.48
44	"stat. ach. 1.626"	"florem animi? **non** **tela** licet Mavortia dextra,"	"stat. theb. 8.717"	"fortunamque ferens, **teli** **non** eminet auctor:"	"telum; non"	9.05
45	"stat. ach. 1.627"	"non **trepidas** agitare **feras**, ubi campus et amnes"	"stat. theb. 1.626"	"oraque sicca **ferunt** **trepidorum** inhiasse luporum,"	"trepidus; fero"	9.57
46	"stat. ach. 1.627"	"non trepidas agitare **feras**, ubi **campus** et amnes"	"stat. theb. 2.503"	"semita, quam subter **campi** devexaque **latis**"	"fero; campus"	9.45
47	"stat. ach. 1.627"	"**non** trepidas agitare **feras**, ubi campus et amnes"	"stat. theb. 5.492"	"**non** deus haec **latumque**? quid imperat urbe nefanda?”"	"fero; non"	9.01
48	"stat. ach. 1.627"	"non **trepidas** agitare **feras**, ubi campus et amnes"	"stat. theb. 8.151"	"cunctatur; sed Mopsus idem **trepidusque** **ferebat**"	"trepidus; fero"	9.09
49	"stat. ach. 1.627"	"non trepidas agitare **feras**, ubi **campus** et amnes"	"stat. theb. 12.566"	"pabula dira **ferae** **campumque** odere volucres"	"campus; fera-ferus"	9.01
50	"stat. ach. 1.628"	"Haemonii? **quaerisne** **meos**, Sperchie, natatus"	"stat. theb. 2.734"	"arma tholis, quaeque ipse **meo** **quaesita** revexi"	"meus; quaero"	9.58
