# Tesserae V3 results
#
# session   = 00000076
# source    = ovid.metamorphoses
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum in hic ille ego neque tu
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.560"	"At procul **occultum** **falsi** **sub** **imagine** sexus"	"ov. met. 7.360"	"**occuluit** Liber **falsi** **sub** **imagine** cervi,"	"sub; imago; occulo; fallo-falsum-falsus"	9.25
2	"stat. ach. 1.560"	"At procul **occultum** **falsi** sub imagine sexus"	"ov. met. 10.519"	"Labitur **occulte** **fallitque** volatilis aetas,"	"fallo; occultus"	10.37
3	"stat. ach. 1.560"	"At procul occultum **falsi** sub **imagine** sexus"	"ov. met. 15.566"	"cornua (vidit enim) **falsamque** in **imagine** credens"	"fallo-falsus; imago"	9.66
4	"stat. ach. 1.561"	"Aeaciden **furto** **iam** **noverat** una latenti"	"ov. met. 1.605"	"deprensi totiens **iam** **nosset** **furta** mariti."	"iam; nosco; furtum"	9.89
5	"stat. ach. 1.561"	"Aeaciden furto iam **noverat** una **latenti**"	"ov. met. 4.436"	"Pallor hiemsque tenent **late** loca senta, **novique**,"	"nosco; lateo"	9.56
6	"stat. ach. 1.561"	"Aeaciden furto iam **noverat** **una** latenti"	"ov. met. 15.529"	"**noscere** quas posses; **unumque** erat omnia vulnus."	"nosco; unus"	10.22
7	"stat. ach. 1.563"	"**cuncta** pavet tacitasque **putat** sentire sorores,"	"ov. met. 7.378"	"desiluit saxo. **Cuncti** cecidisse **putabant**:"	"puto; cunctus"	9.63
8	"stat. ach. 1.563"	"cuncta **pavet** tacitasque putat sentire **sorores**,"	"ov. met. 15.808"	"nata, movere **paras**? Intres licet ipsa **sororum**"	"soror; paueo"	9.15
9	"stat. ach. 1.564"	"**namque** ut virgineo **stetit** in grege durus Achilles"	"ov. met. 8.863"	"litore in hoc **steterat** (**nam** **stantem** in litore vidi),"	"sto; nam"	9.21
10	"stat. ach. 1.564"	"namque **ut** virgineo **stetit** in grege durus Achilles"	"ov. met. 12.258"	"Proximus **ut** **steterat**, spectans altaria vultu"	"sto; ut"	9.04
11	"stat. ach. 1.567"	"**turba** coit, blandeque novas nil tale **timenti**"	"ov. met. 1.92"	"aere legebantur, nec supplex **turba** **timebat**"	"timeo; turba-turbo"	9.19
12	"stat. ach. 1.567"	"turba coit, **blandeque** novas nil tale **timenti**"	"ov. met. 2.691"	"Hunc **timuit** **blandaque** manu seduxit et illi"	"blandus; timeo"	9.61
13	"stat. ach. 1.567"	"**turba** **coit**, blandeque novas nil tale timenti"	"ov. met. 3.236"	"cetera **turba** **coit** confertque in corpore dentes."	"coeo; turba-turbo"	9.34
14	"stat. ach. 1.567"	"turba **coit**, blandeque **novas** nil tale timenti"	"ov. met. 7.709"	"Sacra tori **coitusque** **novos** thalamosque recentes"	"nouus; coeo"	10.15
15	"stat. ach. 1.567"	"**turba** coit, blandeque **novas** nil tale timenti"	"ov. met. 8.96"	"**turbatusque** **novi** respondit imagine facti:"	"nouus; turbo"	9.64
16	"stat. ach. 1.567"	"turba coit, blandeque novas **nil** **tale** **timenti**"	"ov. met. 8.440"	"pectora Plexippi **nil** **tale** **timentia** ferro."	"nihil; timeo; talis-talus"	9.65
17	"stat. ach. 1.567"	"turba coit, blandeque novas nil **tale** **timenti**"	"ov. met. 13.873"	"cum ferus ignaros nec quicquam **tale** **timentes**"	"timeo; talis-talus"	9.58
18	"stat. ach. 1.568"	"admovet insidias: illam **sequiturque** **premitque**"	"ov. met. 3.91"	"usque **sequens** **pressit**, dum retro quercus eunti"	"sequor; premo"	9.36
19	"stat. ach. 1.569"	"improbus, illam **oculis** **iterumque** **iterumque** resumit."	"ov. met. 11.619"	"vix **oculos** tollens **iterumque** **iterumque** relabens"	"iterum; oculus"	9.64
20	"stat. ach. 1.570"	"**nunc** nimius **lateri** non evitantis inhaeret,"	"ov. met. 4.726"	"**nunc** **laterum** costas, **nunc** qua tenuissima cauda"	"nunc; later-latus"	9.08
21	"stat. ach. 1.570"	"nunc nimius lateri **non** **evitantis** inhaeret,"	"ov. met. 12.123"	"inque umero sonuit **non** **evitata** sinistro,"	"euito; non"	9.97
22	"stat. ach. 1.571"	"nunc levibus sertis, **lapsis** nunc **sponte** canistris,"	"ov. met. 3.697"	"**sponte** sua patuisse fores **lapsasque** lacertis"	"sponte; labor-lapsus"	9.39
23	"stat. ach. 1.571"	"**nunc** **levibus** sertis, lapsis **nunc** sponte canistris,"	"ov. met. 10.152"	"**nunc** opus est **leviore** lyra, puerosque canamus"	"nunc; leuis"	9.57
